contratacao,status_contratacao,unidade,objeto,fornecedor,cpf_cnpj,valor_estimado,valor_empenhado,valor_liquidado,valor_pago
2023004720,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,PAGAMENTO DE PUBLICAÇÃO DE ARTIGO CIENTÍFICO,MDPI AG,00.000.000/0005-71,17129.4,17129.4,14652.88,14466.4
2023004721,Ativo,PESAGRO-RIO - EMPR DE PESQUISA AGROPECUÁRIA DO EST DO RJ,Aquisição de purificador de água e refil de filtro para unidades da PesagroRio e Centros de Pesquisas,42.430.153 EUCLIDES PAULINO DO NASCIMENTO,42.430.153/0001-19,15480,15480,14280,14280
2023004722,Em Aberto,FUNESPOM - FUNDO ESP. POLÍCIA MILITAR RJ,MEDICAMENTOS ,SULMEDIC COMERCIO DE MEDICAMENTOS LTDA,09.944.371/0001-04,1071,1071,,
2023004724,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,AQUISIÇÃO DE PAPÉIS PARA CONFECÇÃO DE TALÕES PARA O ESTACIONAMENTO DA PREFEITURA DO CAMPI DA UERJ,LSA ESTUDIO GRAFICO EDITORA E PAPEIS EIRELI,27.463.188/0001-60,5200,5200,,
2023004725,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,Aquisição de Fraldas Geriátricas,MEDKA HOSPITALAR EIRELI,36.958.637/0001-32,29990,29989.99,29630.12,29630.12
2023004726,Ativo,UERJ - HOSPITAL UNIVERSITÁRIO - HOSPITAL UNIVERSITARIO PEDRO ERNESTO,A aquisição de medicamento,UNIQUE DISTRIBUIDORA DE MEDICAMENTOS EIRELI,23.864.942/0001-13,540000,135000,135000,135000
2023004727,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,AQUISIÇÃO DE MATERIAIS E PRESTAÇÃO DE SERVIÇO PERTINENTES AO LABORATÓRIO DE ANÁLISE INSTRUMENTAL DA FACULDADE DE TECNOLOGIA,ALFALAB MATERIAL PARA LABORATORIOS LTDA,29.316.650/0001-22,482.8,482.8,186.54,186.54
2023004728,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,AQUISIÇÃO DE MATERIAIS E PRESTAÇÃO DE SERVIÇO PERTINENTES AO LABORATÓRIO DE ANÁLISE INSTRUMENTAL DA FACULDADE DE TECNOLOGIA,A.M. MARQUES PRODUTOS PARA LABORATORIOS LTDA,24.842.922/0001-04,4225.3,4225.3,1340.57,1340.57
2023004729,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,AQUISIÇÃO DE MATERIAIS E PRESTAÇÃO DE SERVIÇO PERTINENTES AO LABORATÓRIO DE ANÁLISE INSTRUMENTAL DA FACULDADE DE TECNOLOGIA,PRO ANALISE QUIMICA E DIAGNOSTICA LTDA,00.398.022/0002-32,7834.52,7834.52,,
2023004730,Em Aberto,UERJ - ADMINISTRACAO CENTRAL,AQUISIÇÃO DE MATERIAIS E PRESTAÇÃO DE SERVIÇO PERTINENTES AO LABORATÓRIO DE ANÁLISE INSTRUMENTAL DA FACULDADE DE TECNOLOGIA,RBRVIDROS PRODUTOS PARA LABORATORIO LTDA,17.589.708/0001-22,530,0,,
